[2020-08-06T10:08:49.758][1] 	2092 milliseconds 
[2020-08-06T10:08:49.858][1] 	328 milliseconds 
[2020-08-06T10:08:49.91][1] 	381 milliseconds 
[2020-08-06T10:08:49.962][1] 	22 milliseconds 
[2020-08-06T10:08:50.013][1] 	73 milliseconds 
[2020-08-06T10:08:50.065][1] 	24 milliseconds 
[2020-08-06T10:08:50.117][1] 	76 milliseconds 
[2020-08-06T10:08:50.169][1] 	128 milliseconds 
[2020-08-06T10:08:50.221][1] 	180 milliseconds 
[2020-08-06T10:08:50.278][1] 	50 milliseconds 
[2020-08-06T10:08:50.33][1] 	2 milliseconds 
[2020-08-06T10:08:50.382][1] 	54 milliseconds 
[2020-08-06T10:08:50.434][1] 	106 milliseconds 
[2020-08-06T10:08:50.486][1] 	15 milliseconds 
[2020-08-06T10:08:50.538][1] 	67 milliseconds 
[2020-08-06T10:08:50.59][1] 	19 milliseconds 
[2020-08-06T10:08:50.642][1] 	71 milliseconds 
[2020-08-06T10:08:50.694][1] 	123 milliseconds 
[2020-08-06T10:08:50.746][1] 	175 milliseconds 
[2020-08-06T10:08:50.798][1] 	227 milliseconds 
[2020-08-06T10:08:50.85][1] 	279 milliseconds 
[2020-08-06T10:08:50.902][1] 	330 milliseconds 
[2020-08-06T10:08:50.953][1] 	33 milliseconds 
[2020-08-06T10:08:51.005][1] 	85 milliseconds 
[2020-08-06T10:08:51.057][1] 	36 milliseconds 
[2020-08-06T10:08:51.109][1] 	88 milliseconds 
[2020-08-06T10:08:51.161][1] 	39 milliseconds 
[2020-08-06T10:08:51.214][1] 	91 milliseconds 
[2020-08-06T10:08:51.266][1] 	143 milliseconds 
[2020-08-06T10:08:51.317][1] 	195 milliseconds 
[2020-08-06T10:08:51.369][1] 	247 milliseconds 
[2020-08-06T10:08:51.422][1] 	299 milliseconds 
[2020-08-06T10:08:51.474][1] 	36 milliseconds 
[2020-08-06T10:08:51.525][1] 	87 milliseconds 
[2020-08-06T10:08:51.577][1] 	38 milliseconds 
[2020-08-06T10:08:51.629][1] 	90 milliseconds 
[2020-08-06T10:08:51.681][1] 	43 milliseconds 
[2020-08-06T10:08:51.733][1] 	95 milliseconds 
[2020-08-06T10:08:51.786][1] 	46 milliseconds 
[2020-08-06T10:08:51.838][1] 	98 milliseconds 
[2020-08-06T10:08:51.889][1] 	7 milliseconds 
[2020-08-06T10:08:51.941][1] 	59 milliseconds 
[2020-08-06T10:08:51.993][1] 	9 milliseconds 
[2020-08-06T10:08:52.045][1] 	61 milliseconds 
[2020-08-06T10:08:52.098][1] 	113 milliseconds 
[2020-08-06T10:08:52.149][1] 	165 milliseconds 
[2020-08-06T10:08:52.201][1] 	217 milliseconds 
[2020-08-06T10:08:52.254][1] 	269 milliseconds 
[2020-08-06T10:08:52.305][1] 	321 milliseconds 
[2020-08-06T10:08:52.357][1] 	373 milliseconds 
[2020-08-06T10:08:52.409][1] 	9 milliseconds 
[2020-08-06T10:08:52.461][1] 	61 milliseconds 
[2020-08-06T10:08:52.513][1] 	13 milliseconds 
[2020-08-06T10:08:52.565][1] 	65 milliseconds 
