[2020-08-06T10:19:26.726][1] 	2689 milliseconds 
[2020-08-06T10:19:26.801][1] 	142 milliseconds 
[2020-08-06T10:19:26.853][1] 	194 milliseconds 
[2020-08-06T10:19:26.905][1] 	246 milliseconds 
[2020-08-06T10:19:26.957][1] 	298 milliseconds 
[2020-08-06T10:19:27.009][1] 	350 milliseconds 
[2020-08-06T10:19:27.061][1] 	402 milliseconds 
[2020-08-06T10:19:27.113][1] 	454 milliseconds 
[2020-08-06T10:19:27.165][1] 	506 milliseconds 
[2020-08-06T10:19:27.217][1] 	558 milliseconds 
[2020-08-06T10:19:27.269][1] 	610 milliseconds 
[2020-08-06T10:19:27.322][1] 	663 milliseconds 
[2020-08-06T10:19:27.374][1] 	715 milliseconds 
[2020-08-06T10:19:27.426][1] 	767 milliseconds 
[2020-08-06T10:19:27.477][1] 	818 milliseconds 
[2020-08-06T10:19:27.529][1] 	869 milliseconds 
[2020-08-06T10:19:27.581][1] 	921 milliseconds 
[2020-08-06T10:19:27.633][1] 	973 milliseconds 
[2020-08-06T10:19:27.685][1] 	1025 milliseconds 
[2020-08-06T10:19:27.736][1] 	1077 milliseconds 
[2020-08-06T10:19:27.788][1] 	1129 milliseconds 
[2020-08-06T10:19:27.84][1] 	1181 milliseconds 
[2020-08-06T10:19:27.893][1] 	1234 milliseconds 
[2020-08-06T10:19:27.945][1] 	1286 milliseconds 
[2020-08-06T10:19:27.997][1] 	1338 milliseconds 
[2020-08-06T10:19:28.049][1] 	1390 milliseconds 
[2020-08-06T10:19:28.101][1] 	1442 milliseconds 
[2020-08-06T10:19:28.153][1] 	1494 milliseconds 
[2020-08-06T10:19:28.205][1] 	1546 milliseconds 
[2020-08-06T10:19:28.257][1] 	1598 milliseconds 
[2020-08-06T10:19:28.309][1] 	1650 milliseconds 
[2020-08-06T10:19:28.361][1] 	1702 milliseconds 
[2020-08-06T10:19:28.413][1] 	1754 milliseconds 
[2020-08-06T10:19:28.465][1] 	1806 milliseconds 
[2020-08-06T10:19:28.517][1] 	1858 milliseconds 
[2020-08-06T10:19:28.569][1] 	1910 milliseconds 
[2020-08-06T10:19:28.621][1] 	1962 milliseconds 
[2020-08-06T10:19:28.673][1] 	2014 milliseconds 
[2020-08-06T10:19:28.725][1] 	2066 milliseconds 
[2020-08-06T10:19:28.777][1] 	2118 milliseconds 
[2020-08-06T10:19:28.829][1] 	2170 milliseconds 
[2020-08-06T10:19:28.881][1] 	2222 milliseconds 
[2020-08-06T10:19:28.933][1] 	2274 milliseconds 
[2020-08-06T10:19:28.985][1] 	2326 milliseconds 
[2020-08-06T10:19:29.037][1] 	2378 milliseconds 
[2020-08-06T10:19:29.089][1] 	2430 milliseconds 
[2020-08-06T10:19:29.142][1] 	2483 milliseconds 
[2020-08-06T10:19:29.194][1] 	2535 milliseconds 
[2020-08-06T10:19:29.246][1] 	2587 milliseconds 
[2020-08-06T10:19:29.298][1] 	2639 milliseconds 
[2020-08-06T10:19:29.35][1] 	2691 milliseconds 
[2020-08-06T10:19:29.402][1] 	2743 milliseconds 
[2020-08-06T10:19:29.454][1] 	2795 milliseconds 
[2020-08-06T10:19:29.506][1] 	2847 milliseconds 
[2020-08-06T10:19:29.558][1] 	2899 milliseconds 
[2020-08-06T10:19:29.611][1] 	2952 milliseconds 
[2020-08-06T10:19:29.662][1] 	3003 milliseconds 
[2020-08-06T10:19:29.714][1] 	3055 milliseconds 
[2020-08-06T10:19:29.765][1] 	3106 milliseconds 
[2020-08-06T10:19:29.817][1] 	3158 milliseconds 
[2020-08-06T10:19:29.869][1] 	3210 milliseconds 
[2020-08-06T10:19:29.921][1] 	3262 milliseconds 
[2020-08-06T10:19:29.973][1] 	3314 milliseconds 
[2020-08-06T10:19:30.025][1] 	3366 milliseconds 
[2020-08-06T10:19:30.077][1] 	3418 milliseconds 
[2020-08-06T10:19:30.129][1] 	3470 milliseconds 
[2020-08-06T10:19:30.181][1] 	3522 milliseconds 
[2020-08-06T10:19:30.233][1] 	3574 milliseconds 
[2020-08-06T10:19:30.285][1] 	13 milliseconds 
[2020-08-06T10:19:30.337][1] 	65 milliseconds 
[2020-08-06T10:19:30.389][1] 	17 milliseconds 
[2020-08-06T10:19:30.442][1] 	69 milliseconds 
[2020-08-06T10:19:30.494][1] 	22 milliseconds 
[2020-08-06T10:19:30.546][1] 	74 milliseconds 
[2020-08-06T10:19:30.598][1] 	126 milliseconds 
